Data from Philips_4000K_7,3W_1535Lumen_250ms_1__1__15-25-36-357.txt Node

Date: Thu Dec 18 15:25:36 CET 2025
User: Stefan
Spectrometer: ?
Trigger mode: 0
Integration Time (sec): 2,500000E-1
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: true
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
Wavelength [nm]	Power [W]
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	1.5811190284562e-10
418	1.92910615741189e-10
419	3.04505842899474e-10
420	2.89573792735882e-10
421	3.54897881657899e-10
422	3.42246694836629e-10
423	4.41470124974699e-10
424	4.14606316187646e-10
425	4.48459492930812e-10
426	5.04672619341035e-10
427	6.44706827230945e-10
428	6.12363054130884e-10
429	7.75394629648381e-10
430	7.12048297732897e-10
431	7.96076872849622e-10
432	9.6158036056778e-10
433	1.128705842237e-09
434	9.81591229044966e-10
435	1.2906191503666e-09
436	1.31821923094759e-09
437	1.38797223312779e-09
438	1.41694210390707e-09
439	1.63268284724376e-09
440	1.63517869684162e-09
441	1.68919615466687e-09
442	1.87743996499268e-09
443	2.22464393281341e-09
444	2.25051456142359e-09
445	2.50763074968693e-09
446	2.45822582146344e-09
447	2.8221644056972e-09
448	2.82180324586503e-09
449	3.26141811795467e-09
450	3.41800696517678e-09
451	3.7157532705422e-09
452	3.00861378199338e-09
453	2.96046459559846e-09
454	2.83176182699019e-09
455	2.63859289507715e-09
456	2.30299880705486e-09
457	2.08586857037663e-09
458	1.95255180153608e-09
459	1.65066041635221e-09
460	1.44400621653836e-09
461	1.36198873555647e-09
462	1.30790048454608e-09
463	1.15102345215929e-09
464	1.19706880441108e-09
465	1.11532694643484e-09
466	9.84915711586609e-10
467	1.00062659207448e-09
468	9.3052900116406e-10
469	8.85020139215619e-10
470	8.20389404496083e-10
471	7.46415410545854e-10
472	7.08736615687892e-10
473	6.5096426120623e-10
474	6.13507936790171e-10
475	5.80803125910271e-10
476	5.31011099875087e-10
477	5.19901410066862e-10
478	5.04558635174888e-10
479	4.89971850154794e-10
480	4.68049193270529e-10
481	5.01759543045389e-10
482	4.74586680817006e-10
483	4.73585161462289e-10
484	4.88311356563489e-10
485	4.91561831272203e-10
486	4.99352625957625e-10
487	5.08299231184037e-10
488	5.42847769058669e-10
489	5.59773220068299e-10
490	5.52347764062636e-10
491	5.93380856264975e-10
492	6.24585629239615e-10
493	6.69568652752132e-10
494	7.16152008552942e-10
495	7.42397770327991e-10
496	8.0121019861894e-10
497	8.72163362023849e-10
498	9.19221585266566e-10
499	1.00335576536845e-09
500	1.09428098359768e-09
501	1.16110600869144e-09
502	1.20918198167511e-09
503	1.29970437419504e-09
504	1.41091356245292e-09
505	1.48507358156916e-09
506	1.57718517400913e-09
507	1.59484130241258e-09
508	1.6838968551754e-09
509	1.75303953297873e-09
510	1.8522178284091e-09
511	1.87732255715112e-09
512	1.97581701212134e-09
513	2.03280011941117e-09
514	2.14503995367511e-09
515	2.18011330670771e-09
516	2.23149086492417e-09
517	2.28345789918174e-09
518	2.30761222860668e-09
519	2.35237432207376e-09
520	2.37640126258851e-09
521	2.46027458611334e-09
522	2.51356000511307e-09
523	2.58652158773231e-09
524	2.64860609318038e-09
525	2.64855741860228e-09
526	2.59775540633305e-09
527	2.63491832413723e-09
528	2.67020149901655e-09
529	2.69901739702368e-09
530	2.65300420969867e-09
531	2.71846949373902e-09
532	2.69927803647592e-09
533	2.78898919201627e-09
534	2.79170531783234e-09
535	2.73754063697846e-09
536	2.75764365089334e-09
537	2.74601825373732e-09
538	2.74846258584402e-09
